# Locations:
# name	x_meters	y_meters	theta

start	775.0	35.0	0.0
hum1_start	775.0	35.0	0.0

D1	736.0	538.0	4.712

D2	686.0	538.0	4.712

D3	636.0	538.0	4.712
aut3_start	636.0	538.0	4.712

D4	586.0	538.0	4.712

D5	536.0	538.0	4.712

D6	437.0	464.0	4.712

D7	389.0	454.0	4.712
aut2_start	389.0	454.0	4.712

D8	339.0	537.0	4.712

OP1	339.0	71.0	1.571
aut1_finish	339.0	71.0	1.571
aut2_finish	339.0	71.0	1.571
aut3_finish	339.0	71.0	1.571

D9	290.0	537.0	4.712

D10	241.0	334.0	4.712

D11	62.0	203.0	6.126

D12	142.0	482.0	4.712
aut1_start	142.0	482.0	4.712

D13	92.0	257.0	4.712

finish	43.0	294.0	4.712
hum1_finish	43.0	294.0	4.712
