# Locations:
# name	x_meters	y_meters	theta

start	775.0	36.0	6.266
hum1_start	775.0	36.0	6.266

D1	737.0	242.0	4.712

D2	637.0	537.0	4.712

D3	587.0	537.0	4.712
aut3_start	587.0	537.0	4.712

D4	487.0	537.0	4.712

D5	437.0	537.0	4.712

D6	388.0	537.0	4.712
aut2_start	388.0	537.0	4.712

D7	288.0	537.0	4.712

D8	239.0	537.0	4.712
aut1_start	239.0	537.0	4.712

D9	189.0	432.0	4.712

OP1	189.0	132.0	1.571
aut1_finish	189.0	132.0	1.571
aut2_finish	189.0	132.0	1.571
aut3_finish	189.0	132.0	1.571

finish	201.0	169.0	6.196
hum1_finish	201.0	169.0	6.196
