# Locations:
# name	x_meters	y_meters	theta

start	775.0	38.0	6.109
hum1_start	775.0	38.0	6.109

D1	737.0	537.0	4.712
aut3_start	737.0	537.0	4.712

D2	688.0	537.0	4.712

D3	639.0	537.0	4.712
aut2_start	639.0	537.0	4.712

D4	590.0	385.0	4.712

D5	540.0	371.0	4.712

D6	442.0	537.0	4.712

D7	394.0	537.0	4.712

D8	344.0	537.0	4.712
aut1_start	344.0	537.0	4.712

OP1	344.0	126.0	1.571
aut1_finish	344.0	126.0	1.571
aut2_finish	344.0	126.0	1.571
aut3_finish	344.0	126.0	1.571

finish	356.0	162.0	6.109
hum1_finish	356.0	162.0	6.109
