# Locations:
# name	x_meters	y_meters	theta

start	775.0	39.0	6.021
hum1_start	775.0	39.0	6.021

D1	738.0	537.0	4.712

D2	690.0	537.0	4.712

D3	642.0	537.0	4.712

D4	545.0	537.0	4.712

D5	497.0	537.0	4.712
aut3_start	497.0	537.0	4.712

D6	448.0	456.0	4.712

OP1	448.0	138.0	1.571
aut3_finish	448.0	138.0	1.571

D7	400.0	456.0	4.712

D8	353.0	537.0	4.712

D9	256.0	453.0	4.712

D10	207.0	458.0	4.712

D11	158.0	450.0	4.712
aut2_start	158.0	450.0	4.712

OP2	158.0	258.0	1.571
aut1_finish	158.0	258.0	1.571
aut2_finish	158.0	258.0	1.571

D12	60.0	400.0	4.712
aut1_start	60.0	400.0	4.712

D13	11.0	432.0	4.712

finish	23.0	374.0	6.074
hum1_finish	23.0	374.0	6.074
