# Locations:
# name	x_meters	y_meters	theta

start	775.0	36.0	6.248
hum1_start	775.0	36.0	6.248

D1	737.0	537.0	4.712

D2	687.0	407.0	4.712

D3	587.0	537.0	4.712
aut3_start	587.0	537.0	4.712

D4	537.0	537.0	4.712

D5	487.0	537.0	4.712

OP1	487.0	58.0	1.571
aut2_finish	487.0	58.0	1.571
aut3_finish	487.0	58.0	1.571

D6	437.0	475.0	4.712

D7	388.0	354.0	4.712
aut2_start	388.0	354.0	4.712

D8	288.0	537.0	4.712

D9	238.0	537.0	4.712

D10	188.0	416.0	4.712

OP2	188.0	113.0	1.571
aut1_finish	188.0	113.0	1.571

D11	138.0	417.0	4.712

D12	88.0	173.0	4.712
aut1_start	88.0	173.0	4.712

finish	50.0	151.0	0.0
hum1_finish	50.0	151.0	0.0
