# Locations:
# name	x_meters	y_meters	theta

start	775.0	36.0	6.213
hum1_start	775.0	36.0	6.213

D1	737.0	537.0	4.712
aut3_start	737.0	537.0	4.712

D2	687.0	537.0	4.712

D3	588.0	470.0	4.712

D4	538.0	537.0	4.712

D5	489.0	537.0	4.712
aut2_start	489.0	537.0	4.712

OP1	489.0	84.0	1.571
aut1_finish	489.0	84.0	1.571
aut2_finish	489.0	84.0	1.571
aut3_finish	489.0	84.0	1.571

D6	126.0	236.0	6.109
aut1_start	126.0	236.0	6.109

D7	118.0	288.0	6.109

D8	333.0	300.0	6.109

D9	364.0	343.0	6.109

D10	63.0	446.0	6.109

D11	392.0	538.0	4.712

finish	354.0	445.0	6.109
hum1_finish	354.0	445.0	6.109
