# Locations:
# name	x_meters	y_meters	theta

start	775.0	37.0	6.126
hum1_start	775.0	37.0	6.126

D1	737.0	537.0	4.712
aut3_start	737.0	537.0	4.712

D2	688.0	537.0	4.712
aut2_start	688.0	537.0	4.712

D3	638.0	537.0	4.712

D4	539.0	537.0	4.712

D5	489.0	537.0	4.712

D6	439.0	537.0	4.712

OP1	439.0	81.0	1.571
aut1_finish	439.0	81.0	1.571
aut2_finish	439.0	81.0	1.571
aut3_finish	439.0	81.0	1.571

D7	390.0	537.0	4.712

D8	62.0	176.0	6.266

D9	62.0	226.0	6.266

D10	62.0	276.0	6.266
aut1_start	62.0	276.0	6.266

finish	340.0	308.0	4.712
hum1_finish	340.0	308.0	4.712
