# Locations:
# name	x_meters	y_meters	theta

start	775.0	36.0	6.266
hum1_start	775.0	36.0	6.266

D1	637.0	468.0	4.712
aut3_start	637.0	468.0	4.712

D2	587.0	537.0	4.712

D3	538.0	537.0	4.712

OP1	538.0	70.0	1.571
aut1_finish	538.0	70.0	1.571
aut2_finish	538.0	70.0	1.571
aut3_finish	538.0	70.0	1.571

D4	488.0	440.0	4.712
aut2_start	488.0	440.0	4.712

D5	63.0	225.0	6.144

D6	63.0	275.0	6.144

D7	390.0	537.0	4.712

D8	341.0	537.0	4.712

D9	291.0	537.0	4.712

D10	169.0	359.0	6.144

D11	228.0	401.0	6.144

D12	225.0	451.0	6.144
aut1_start	225.0	451.0	6.144

D13	166.0	510.0	6.144

finish	242.0	537.0	4.712
hum1_finish	242.0	537.0	4.712
